,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,2,500,90.0,,FormicAcid/CO,10.0,0.23,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,33800.49257347254,169002462.8673627,338004925.7347254,338004.92573472543,1751.5870836298138,630571.350106733,567514.2150960597,25.0,106.38053961975636,63.82832377185382,10985.160086378577,8244.491820531119,368.00584359080887,10850.815041215148,19597.657750500508,8746.84270928536,0.019356625427469135,439.4064034551431,329.77967282124473,14.720233743632352,434.03260164860586,783.9063100200202,349.87370837141435,2.5531329508741525
1,AceticAcid,CH3COOH,2,4,2,60.05076,8,Categories-Category_2,2,500,90.0,,FormicAcid/CO,10.0,0.275,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,19836.167758454947,99180838.79227473,198361677.58454946,198361.67758454947,1027.9369497026914,462571.62736621115,416314.46462959005,25.0,74.64518350808551,44.7871101048513,6446.754521497858,5785.001721876627,215.9680257230364,7613.8087178247215,12447.724269097522,4833.9155512728,0.015485300341975308,257.87018085991434,231.4000688750651,8.638721028921456,304.5523487129889,497.9089707639009,193.35662205091205,1.791484404194052
2,Ethanol,C2H5OH,2,6,1,46.067440000000005,12,Categories-Category_2,2,500,90.0,,FormicAcid/CO,10.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,38785.86316222638,193929315.8111319,387858631.6222638,387858.6316222638,2009.935707141369,602980.7121424107,542682.6409281696,25.0,106.14872456555001,63.689234739330004,12605.405527723575,8226.526153830126,422.28450551087326,10827.1699056861,21254.216187064576,10427.046281378476,0.023227950512962968,504.21622110894305,329.06104615320504,16.891380220434932,433.086796227444,850.168647482583,417.081851255139,2.5475693895732
3,EthyleneGlycol,(CH2OH)2,2,6,2,62.06644,10,Categories-Category_2,2,500,90.0,,FormicAcid/CO,10.0,0.23,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,23989.956355292725,119949781.77646363,239899563.55292726,239899.56355292725,1243.1918735335953,447549.07447209436,402794.16702488496,25.0,75.50376660881467,45.3022599652888,7796.735815470136,5851.541912183137,261.1927653730398,7701.384194099096,13909.470493026312,6208.086298927216,0.019356625427469132,311.8694326188055,234.0616764873255,10.447710614921592,308.05536776396383,556.3788197210525,248.3234519570887,1.812090398611552
4,FormicAcid,CHOOH,1,1,2,45.01654,2,Categories-Category_2,2,500,90.0,,CO,10.0,0.5,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,6615.218258570717,33076091.292853583,66152182.585707165,66152.18258570717,342.8095265747234,617057.1478345022,555351.4330510519,25.0,45.261141793660734,27.15668507619644,2149.945934035483,3507.738489008707,72.02377215334565,4616.636462953395,5729.708195197535,1113.0717322441405,0.003871325085493827,85.99783736141931,140.30953956034827,2.8809508861338258,184.66545851813578,229.18832780790143,44.52286928976565,1.0862674030478576
5,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,Categories-Category_2,2,500,90.0,,FormicAcid/CO,10.0,0.275,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,19836.167758454947,99180838.79227473,198361677.58454946,198361.67758454947,1027.9369497026914,462571.62736621115,416314.46462959005,25.0,74.64518350808551,44.7871101048513,6446.754521497858,5785.001721876627,215.9680257230364,7613.8087178247215,12447.724269097522,4833.9155512728,0.015485300341975308,257.87018085991434,231.4000688750651,8.638721028921456,304.5523487129889,497.9089707639009,193.35662205091205,1.791484404194052
6,Methanol,CH3OH,1,4,1,32.04106,6,Categories-Category_2,2,500,90.0,,FormicAcid/CO,10.0,0.1625,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,27882.4331041806,139412165.520903,278824331.041806,278824.33104180597,1444.905265190861,866943.1591145166,780248.843203065,25.0,62.000523703023546,37.200314221814125,9061.790758858695,4805.040586984325,303.57244923469796,6324.053417708401,14170.403795077718,7846.350377369317,0.01161397525648148,362.47163035434784,192.201623479373,12.142897969387919,252.9621367083361,566.8161518031087,313.85401509477265,1.488012568872565
7,CarbonMonoxide,CO,1,0,1,28.009700000000002,2,Categories-Category_2,2,500,90.0,,FormicAcid,10.0,0.5,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,10631.825308578062,53159126.54289031,106318253.08578062,106318.25308578063,550.955517746784,991719.9319442112,892547.9387497902,25.0,72.7426570081079,43.645594204864736,3455.3432252878706,5637.5559181283625,115.7549356148752,7419.751014827005,9208.654079031108,1788.9030642041034,0.003871325085493827,138.21372901151483,225.50223672513448,4.630197424595008,296.79004059308016,368.34616316124436,71.5561225681642,1.7458237681945894
8,CarbonMonoxide_0.5,CO,1,0,1,28.009700000000002,2,Categories-Category_2,2,500,66.66666666666666,,Hydrogen,33.33333333333334,0.33333333333333326,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,14352.964166580388,71764820.83290194,143529641.66580388,143529.64166580388,743.7899489581587,1338821.9081246855,892547.9387497902,25.0,65.46839130729713,39.28103478437827,4664.7133541386265,5073.800326315527,156.26916308008157,6677.775913344306,9894.782843534236,3217.0069301899302,0.005226288865416668,180.09451735947195,195.88848265144028,6.033215198122877,257.81451910254077,382.0162152090351,124.20169610649438,1.5712413913751309
9,CarbonMonoxide_1,CO,1,0,1,28.009700000000002,2,Categories-Category_2,2,500,50.0,,Hydrogen,50.0,0.25,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,19137.285555440514,95686427.77720258,191372855.55440515,191372.85555440516,991.7199319442113,1785095.8774995804,892547.9387497902,25.0,65.46839130729713,39.28103478437827,6219.617805518168,5073.800326315527,208.35888410677538,6677.775913344306,11501.777015940472,4824.001102596166,0.00696838515388889,232.04977585153665,189.3000929080211,7.773730455070208,249.14334808539553,429.123599214628,179.98025112923247,1.5712413913751309
