,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,ScalingFactor,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,33800.49257347254,169002462.8673627,338004.92573472543,25.0,106.38053961975636,439.4064034551431,329.77967282124473,14.720233743632352,434.03260164860586,783.9063100200202,349.87370837141435,2.5531329508741525
1,AceticAcid,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,19836.167758454947,99180838.79227473,198361.67758454947,25.0,74.64518350808551,257.87018085991434,231.4000688750651,8.638721028921456,304.5523487129889,497.9089707639009,193.35662205091205,1.791484404194052
2,Ethanol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,38785.86316222638,193929315.8111319,387858.6316222638,25.0,106.14872456555001,504.21622110894305,329.06104615320504,16.891380220434932,433.086796227444,850.168647482583,417.081851255139,2.5475693895732
3,EthyleneGlycol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,23989.956355292725,119949781.77646363,239899.56355292725,25.0,75.50376660881467,311.8694326188055,234.0616764873255,10.447710614921592,308.05536776396383,556.3788197210525,248.3234519570887,1.812090398611552
4,FormicAcid,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,6615.218258570717,33076091.292853583,66152.18258570717,25.0,45.261141793660734,85.99783736141931,140.30953956034827,2.8809508861338258,184.66545851813578,229.18832780790143,44.52286928976565,1.0862674030478576
5,Glycolaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,19836.167758454947,99180838.79227473,198361.67758454947,25.0,74.64518350808551,257.87018085991434,231.4000688750651,8.638721028921456,304.5523487129889,497.9089707639009,193.35662205091205,1.791484404194052
6,Methanol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,27882.4331041806,139412165.520903,278824.33104180597,25.0,62.000523703023546,362.47163035434784,192.201623479373,12.142897969387919,252.9621367083361,566.8161518031087,313.85401509477265,1.488012568872565
7,CarbonMonoxide,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,90.0,10631.825308578062,53159126.54289031,106318.25308578063,25.0,72.7426570081079,138.21372901151483,225.50223672513448,4.630197424595008,296.79004059308016,368.34616316124436,71.5561225681642,1.7458237681945894
8,CarbonMonoxide_0.5,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,66.66666666666666,14352.964166580388,71764820.83290194,143529.64166580388,25.0,65.46839130729713,180.09451735947195,195.88848265144028,6.033215198122877,257.81451910254077,382.0162152090351,124.20169610649438,1.5712413913751309
9,CarbonMonoxide_1,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,50.0,19137.285555440514,95686427.77720258,191372.85555440516,25.0,65.46839130729713,232.04977585153665,189.3000929080211,7.773730455070208,249.14334808539553,429.123599214628,179.98025112923247,1.5712413913751309
10,CarbonMonoxide_2,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,33.33333333333333,28705.928333160777,143529641.66580388,287059.28333160776,25.0,65.46839130729713,326.13652330079015,177.3690549365517,10.92566202397941,233.44056262617124,514.4312402613212,280.99067763514995,1.5712413913751309
11,FormicAcid_0.5,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,66.66666666666666,8930.544649070469,44652723.24535234,89305.44649070468,25.0,40.73502761429466,113.54946223237,123.50754586375601,3.803937795127908,162.55186681423368,240.8609458912539,78.30907907702023,0.9776406627430717
12,FormicAcid_1,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,50.0,11907.392865427291,59536964.32713646,119073.92865427291,25.0,40.735027614294665,148.14833646116168,120.8555093550674,4.963009469799903,159.0614445705403,273.966855286029,114.9054107154887,0.9776406627430719
13,FormicAcid_2,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,2,500,33.33333333333333,17861.089298140938,89305446.49070469,178610.89298140936,25.0,40.73502761429466,213.0720538145033,115.87904487352756,7.137971617442503,152.51177518838463,336.0890703054733,183.57729511708865,0.9776406627430717
14,CarbonDioxide_2,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
15,CarbonDioxide_4,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
16,CarbonDioxide_x,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
