,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,30420.443316125293,152102216.58062646,228153324.87093967,228153.32487093966,1576.4283752668325,567514.2150960597,567514.2150960597,25.0,83.25433535459196,49.95260121275518,7414.983058305539,6452.210989980877,331.20525923172806,8491.94220616838,14198.399307518144,5706.457101349764,0.013065722163541665,296.59932233222156,258.0884395992351,13.248210369269122,339.6776882467352,567.9359723007257,228.25828405399045,1.998104048510207
1,AceticAcid,CH3COOH,2,4,2,60.05076,8,Categories-Category_2,1.5,500,100.0,,FormicAcid/CO,0.0,0.25,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,17852.55098260945,89262754.91304725,133894132.36957088,133894.13236957087,925.1432547324223,416314.46462959005,416314.46462959005,25.0,61.073331961160854,36.64399917669651,4351.559302011054,4733.183226989966,194.37122315073267,6229.4798600384065,9279.113752151752,3049.6338921133456,0.010452577730833332,174.06237208044217,189.32732907959866,7.774848926029307,249.17919440153625,371.16455008607005,121.9853556845338,1.4657599670678605
2,Ethanol,C2H5OH,2,6,1,46.067440000000005,12,Categories-Category_2,1.5,500,100.0,,FormicAcid/CO,0.0,0.16666666666666669,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,34907.27684600373,174536384.23001868,261804576.345028,261804.576345028,1808.9421364272318,542682.6409281696,542682.6409281696,25.0,79.61154342416249,47.76692605449749,8508.64873121341,6169.894615372593,380.05605495978585,8120.377429264573,15058.59940154579,6938.221972281218,0.015678866596249997,340.3459492485364,246.7957846149037,15.202242198391435,324.81509717058293,602.3439760618315,277.5288788912486,1.9106770421798995
3,EthyleneGlycol,(CH2OH)2,2,6,2,62.06644,10,Categories-Category_2,1.5,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,21590.960719763454,107954803.59881727,161932205.3982259,161932.2053982259,1118.8726861802359,402794.16702488496,402794.16702488496,25.0,59.08990430255062,35.45394258153037,5262.796675442341,4579.467583447673,235.07348883573576,6027.1702388601625,10077.33774772575,4050.1675088655884,0.013065722163541661,210.51186701769365,183.1787033379069,9.40293955342943,241.0868095544065,403.09350990903005,162.00670035462355,1.4181577032612147
4,FormicAcid,CHOOH,1,1,2,45.01654,2,Categories-Category_2,1.5,500,100.0,,CO,0.0,0.5,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,5953.696432713646,29768482.16356823,44652723.24535234,44652.72324535234,308.5285739172511,555351.4330510519,555351.4330510519,25.0,40.735027614294665,24.4410165685768,1451.213505473951,3156.9646401078367,64.82139493801111,4154.972816658056,4672.999540519799,518.0267238617425,0.0026131444327083335,58.048540218958046,126.27858560431348,2.5928557975204445,166.19891266632223,186.91998162079193,20.7210689544697,0.9776406627430719
5,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,Categories-Category_2,1.5,500,100.0,,FormicAcid/CO,0.0,0.25,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,17852.55098260945,89262754.91304725,133894132.36957088,133894.13236957087,925.1432547324223,416314.46462959005,416314.46462959005,25.0,61.073331961160854,36.64399917669651,4351.559302011054,4733.183226989966,194.37122315073267,6229.4798600384065,9279.113752151752,3049.6338921133456,0.010452577730833332,174.06237208044217,189.32732907959866,7.774848926029307,249.17919440153625,371.16455008607005,121.9853556845338,1.4657599670678605
6,Methanol,CH3OH,1,4,1,32.04106,6,Categories-Category_2,1.5,500,100.0,,FormicAcid/CO,0.0,0.125,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,25094.18979376254,125470948.9688127,188206423.45321906,188206.42345321906,1300.414738671775,780248.843203065,780248.843203065,25.0,42.92343948670861,25.754063692025166,6116.708762229619,3326.5665602199174,273.2152043112281,4378.190827644278,9716.490526760765,5338.299699116486,0.007839433298125,244.6683504891848,133.0626624087967,10.928608172449124,175.12763310577114,388.65962107043055,213.5319879646594,1.0301625476810066
7,CarbonMonoxide,CO,1,0,1,28.009700000000002,2,Categories-Category_2,1.5,500,100.0,,FormicAcid,0.0,0.5,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,9568.642777720257,47843213.88860129,71764820.83290192,71764.82083290193,495.85996597210567,892547.9387497902,892547.9387497902,25.0,65.46839130729713,39.28103478437827,2332.356677069313,5073.800326315527,104.17944205338769,6677.775913344306,7510.336445438228,832.5605320939221,0.0026131444327083335,93.29426708277252,202.95201305262108,4.167177682135507,267.1110365337723,300.41345781752915,33.30242128375687,1.5712413913751309
8,CarbonMonoxide_0.5,CO,1,0,1,28.009700000000002,2,Categories-Category_2,1.5,500,66.66666666666666,,Hydrogen,33.33333333333334,0.33333333333333326,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,14352.964166580388,71764820.83290194,107647231.2493529,107647.2312493529,743.7899489581587,1338821.9081246855,892547.9387497902,25.0,65.46839130729713,39.28103478437827,3498.5350156039694,5073.800326315527,156.26916308008157,6677.775913344306,8728.60450499958,2050.828591655273,0.0039197166490625,135.07088801960396,195.88848265144028,6.033215198122877,257.81451910254077,336.9925858691672,79.17806676662643,1.5712413913751309
9,CarbonMonoxide_1,CO,1,0,1,28.009700000000002,2,Categories-Category_2,1.5,500,50.0,,Hydrogen,50.0,0.25,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,19137.285555440514,95686427.77720258,143529641.66580385,143529.64166580385,991.7199319442113,1785095.8774995804,892547.9387497902,25.0,65.46839130729713,39.28103478437827,4664.713354138626,5073.800326315527,208.35888410677538,6677.775913344306,9946.872564560928,3269.0966512166224,0.005226288865416667,174.0373318886525,189.3000929080211,7.773730455070208,249.14334808539553,371.11115525174375,121.96780716634825,1.5712413913751309
