,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,30420.443316125293,152102216.58062646,178872206.69881672,178872.2066988167,1576.4283752668325,567514.2150960597,567514.2150960597,25.0,83.25433535459196,49.95260121275518,5813.3467177115435,6452.210989980877,331.20525923172806,8491.94220616838,12596.762966924149,4104.820760755769,0.010243526176216667,232.53386870846174,258.0884395992351,13.248210369269122,339.6776882467352,503.87051867696596,164.19283043023074,1.998104048510207
1,AceticAcid,CH3COOH,2,4,2,60.05076,8,Categories-Category_2,1.131,500,100.0,,FormicAcid/CO,0.0,0.25,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,17852.55098260945,89262754.91304725,100956175.80665645,100956.17580665645,925.1432547324223,416314.46462959005,416314.46462959005,25.0,61.073331961160854,36.64399917669651,3281.0757137163346,4733.183226989966,194.37122315073267,6229.4798600384065,8208.630163857033,1979.1503038186265,0.007881243609048332,131.2430285486534,189.32732907959866,7.774848926029307,249.17919440153625,328.34520655428133,79.16601215274508,1.4657599670678605
2,Ethanol,C2H5OH,2,6,1,46.067440000000005,12,Categories-Category_2,1.145,500,100.0,,FormicAcid/CO,0.0,0.16666666666666669,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,34907.27684600373,174536384.23001868,199844159.9433714,199844.15994337137,1808.9421364272318,542682.6409281696,542682.6409281696,25.0,79.61154342416249,47.76692605449749,6494.93519815957,6169.894615372593,380.05605495978585,8120.377429264573,13044.88586849195,4924.5084392273775,0.011968201501804165,259.7974079263828,246.7957846149037,15.202242198391435,324.81509717058293,521.7954347396781,196.98033756909513,1.9106770421798995
3,EthyleneGlycol,(CH2OH)2,2,6,2,62.06644,10,Categories-Category_2,1.44,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,21590.960719763454,107954803.59881727,155454917.18229687,155454.91718229686,1118.8726861802359,402794.16702488496,402794.16702488496,25.0,59.08990430255062,35.45394258153037,5052.284808424648,4579.467583447673,235.07348883573576,6027.1702388601625,9866.825880708057,3839.655641847894,0.012543093276999996,202.0913923369859,183.1787033379069,9.40293955342943,241.0868095544065,394.6730352283222,153.5862256739157,1.4181577032612147
4,FormicAcid,CHOOH,1,1,2,45.01654,2,Categories-Category_2,1.4,500,100.0,,CO,0.0,0.5,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,5953.696432713646,29768482.16356823,41675875.028995514,41675.87502899551,308.5285739172511,555351.4330510519,555351.4330510519,25.0,40.735027614294665,24.4410165685768,1354.4659384423542,3156.9646401078367,64.82139493801111,4154.972816658056,4576.251973488203,421.27915683014635,0.0024389348038611107,54.178637537694165,126.27858560431348,2.5928557975204445,166.19891266632223,183.0500789395281,16.851166273205877,0.9776406627430719
5,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,Categories-Category_2,1.344,500,100.0,,FormicAcid/CO,0.0,0.25,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,17852.55098260945,89262754.91304725,119969142.60313551,119969.14260313551,925.1432547324223,416314.46462959005,416314.46462959005,25.0,61.073331961160854,36.64399917669651,3898.9971346019042,4733.183226989966,194.37122315073267,6229.4798600384065,8826.551584742603,2597.0717247041966,0.009365509646826666,155.95988538407616,189.32732907959866,7.774848926029307,249.17919440153625,353.0620633897041,103.88286898816787,1.4657599670678605
6,Methanol,CH3OH,1,4,1,32.04106,6,Categories-Category_2,1.213,500,100.0,,FormicAcid/CO,0.0,0.125,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,25094.18979376254,125470948.9688127,152196261.09916982,152196.26109916982,1300.414738671775,780248.843203065,780248.843203065,25.0,42.92343948670861,25.754063692025166,4946.378485723019,3326.5665602199174,273.2152043112281,4378.190827644278,8546.160250254165,4167.969422609886,0.006339488393750417,197.85513942892078,133.0626624087967,10.928608172449124,175.12763310577114,341.8464100101666,166.71877690439547,1.0301625476810066
7,CarbonMonoxide,CO,1,0,1,28.009700000000002,2,Categories-Category_2,1.333,500,100.0,,FormicAcid,0.0,0.5,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,9568.642777720257,47843213.88860129,63775004.11350551,63775.004113505514,495.85996597210567,892547.9387497902,892547.9387497902,25.0,65.46839130729713,39.28103478437827,2072.6876336889295,5073.800326315527,104.17944205338769,6677.775913344306,7250.667402057845,572.8914887135388,0.0023222143525334724,82.90750534755718,202.95201305262108,4.167177682135507,267.1110365337723,290.0266960823138,22.9156595485415,1.5712413913751309
8,CarbonMonoxide_0.5,CO,1,0,1,28.009700000000002,2,Categories-Category_2,1.333,500,66.66666666666666,,Hydrogen,33.33333333333334,0.33333333333333326,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,14352.964166580388,71764820.83290194,95662506.17025828,95662.50617025829,743.7899489581587,1338821.9081246855,892547.9387497902,25.0,65.46839130729713,39.28103478437827,3109.0314505333945,5073.800326315527,156.26916308008157,6677.775913344306,8339.100939929003,1661.3250265846973,0.003483321528800209,120.03299582008803,195.88848265144028,6.033215198122877,257.81451910254077,321.9546936696512,64.14017456711042,1.5712413913751309
9,CarbonMonoxide_1,CO,1,0,1,28.009700000000002,2,Categories-Category_2,1.333,500,50.0,,Hydrogen,50.0,0.25,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,19137.285555440514,95686427.77720258,127550008.22701102,127550.00822701103,991.7199319442113,1785095.8774995804,892547.9387497902,25.0,65.46839130729713,39.28103478437827,4145.375267377859,5073.800326315527,208.35888410677538,6677.775913344306,9427.534477800162,2749.758564455856,0.004644428705066945,154.66117560504915,189.3000929080211,7.773730455070208,249.14334808539553,351.7349989681405,102.59165088274493,1.5712413913751309
