,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass,BioProduct,SubstratePathway,YieldBP_Molar,YieldBP_Mass,BioproductionCost_massNOCT,BioproductionCost_mass1,CO2_OverallCons_mass,BioproductionCost_mass2
0,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,1416577.5923769933,283315518.47539866,566631.0369507973,27.939979263078513,297.7439236311915,659.1096051827146,825.8830067175521,552.0087653862133,905.8071686579605,2037.00137728648,1131.1942086285194,5.328277462693885,1-3-Butanediol-PW1,Acetaldehyde,0.437380952380953,0.894775180919208,2529.501166233183,1404.6907880709043,6.3368650222665455,1452.2341124478703
1,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,1392885.5316197413,278577106.32394826,557154.2126478965,27.472687044269325,292.76419843524513,659.1096051827147,825.8830067175525,552.0087653862134,905.8071686579607,2037.0013772864809,1131.1942086285203,5.328277462693887,1-3-Butanediol-PW2,Acetaldehyde,0.444820512820513,0.909994714376324,2487.1956154194254,1381.1975324418331,6.2635524013262245,1422.3917071939672
2,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,1477065.1531195994,295413030.62391984,590826.0612478397,29.13301041217836,310.45752559927246,659.1096051827145,825.8830067175521,552.0087653862134,905.8071686579605,2037.0013772864804,1131.1942086285198,5.328277462693884,1-3-Diaminopropane,Acetaldehyde,0.496486486486487,0.858133081555806,2637.510325960386,1464.6707848075791,6.3046768009245335,1565.7152698032155
3,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,1436325.8633550168,287265172.67100334,574530.3453420067,28.32948583481651,301.894721806717,659.1096051827147,825.8830067175522,552.0087653862134,905.8071686579607,2037.0013772864804,1131.1942086285198,5.328277462693886,1-3-Propanediol,Acetaldehyde,0.510882352941177,0.882472775742205,2564.764518370625,1424.2733471008053,6.17967889759724,1514.2191057790942
4,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,1533800.485229751,306760097.04595023,613520.1940919005,30.252034185511945,322.3824639026166,659.1096051827146,825.8830067175525,552.0087653862133,905.8071686579608,2037.0013772864804,1131.1942086285196,5.328277462693887,1-4-Butanediol,Acetaldehyde,0.403953488372093,0.826390709685658,2738.819346738023,1520.9300386614711,6.699599087373643,1599.8875018845035
5,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,2001814.9423365272,400362988.4673054,800725.9769346109,39.482954042462694,420.75226837006477,659.1096051827146,825.8830067175521,552.0087653862134,905.8071686579605,2037.0013772864804,1131.1942086285198,5.328277462693885,1-Propanol-PW1,Acetaldehyde,0.464155844155844,0.633184638948577,3574.5258561704586,1985.017286772436,8.391472918888352,2147.975459959439
6,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,2149648.8534115264,429929770.68230534,859859.5413646107,42.398767784006075,451.82479765902235,659.1096051827146,825.8830067175525,552.0087653862133,905.8071686579607,2037.0013772864804,1131.1942086285198,5.328277462693886,1-Propanol-PW2,Acetaldehyde,0.432235294117647,0.589639777442557,3838.504372056446,2131.6106920112506,8.848929600086898,2334.1863400416732
7,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,1450305.6302907318,290061126.05814636,580122.2521162927,28.605216864580388,304.83306467002944,659.1096051827149,825.8830067175522,552.0087653862134,905.8071686579605,2037.0013772864804,1131.1942086285198,5.328277462693885,2-3-Butanediol,Acetaldehyde,0.427209302325582,0.873966455781552,2589.7273844768315,1438.1358068344978,6.4412329320049935,1494.7177860359825
8,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,2310349.8084875653,462069961.697513,924139.923395026,45.56836567722654,485.6017916995195,659.1096051827146,825.8830067175522,552.0087653862134,905.8071686579605,2037.0013772864804,1131.1942086285198,5.328277462693885,2-Methyl-1-Butanol,Acetaldehyde,0.274179104477612,0.548626215324069,4125.458828675753,2290.963171144235,9.645547446051427,2485.71576284701
9,Acetaldehyde,Categories-Category_1,0.0325,77.5,170,50.0,1812.1301775147926,2.0,20,60.0,990453.2560185719,198090651.20371437,396181.30240742874,19.53528248867205,208.1788108234996,659.1096051827146,825.8830067175522,552.0087653862134,905.8071686579605,2037.0013772864804,1131.1942086285198,5.328277462693885,2-Pyrone-4-6-Dicarboxylate,Acetaldehyde,0.309606741573034,1.27973578137387,1768.5954371157966,982.1421517825759,4.756760751096355,959.9461094294163
