,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass,BioProduct,SubstratePathway,YieldBP_Molar,YieldBP_Mass,BioproductionCost_massNOCT,BioproductionCost_mass1,CO2_OverallCons_mass,BioproductionCost_mass2
0,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,33997.86221704784,169989311.0852392,199907.4298362413,27.939979263078513,93.04497613474734,232.5338687084617,258.0884395992351,13.24821036926912,339.67768824673516,527.10025895083,187.42257070409488,1.9981040485102068,1-3-Butanediol-PW1,Acetaldehyde,0.437380952380953,0.894775180919208,654.540902428867,232.73701061801236,2.201532749611108,280.2803349949786
1,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,33429.25275887379,167146263.79436892,196564.00622217782,27.472687044269325,91.48881201101408,232.53386870846168,258.0884395992351,13.24821036926912,339.67768824673516,527.4953814540435,187.8176932073083,1.9981040485102066,1-3-Butanediol-PW2,Acetaldehyde,0.444820512820513,0.909994714376324,644.0762458659735,229.32696474937643,2.1973829786144847,270.52113950151113
2,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,35449.56367487039,177247818.37435195,208443.43440823787,29.13301041217836,97.01797674977267,232.5338687084617,258.08843959923513,13.248210369269126,339.6776882467353,526.1489736788955,186.4712854321602,1.998104048510207,1-3-Diaminopropane,Acetaldehyde,0.496486486486487,0.858133081555806,681.2579346019653,241.44310666966248,1.9927667231568604,342.487591665299
3,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,34471.820720520394,172359103.60260198,202694.3058366599,28.32948583481651,94.34210056459904,232.5338687084617,258.0884395992351,13.248210369269117,339.67768824673516,526.7808695856577,187.10318133892252,1.9981040485102068,1-3-Propanediol,Acetaldehyde,0.510882352941177,0.882472775742205,663.2636081324094,235.57941890622712,1.9866966502817265,325.5251775845159
4,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,36811.21164551402,184056058.22757012,216449.92447562245,30.252034185511945,100.74451996956766,232.5338687084617,258.08843959923513,13.248210369269119,339.67768824673516,525.3248928707281,185.647204623993,1.9981040485102066,1-4-Butanediol,Acetaldehyde,0.403953488372093,0.826390709685658,706.3176274500296,249.60913692132297,2.222064866503966,328.5666001443554
5,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,48043.55861607665,240217793.08038324,282496.12466253067,39.482954042462694,131.48508386564527,232.53386870846168,258.08843959923513,13.248210369269119,339.67768824673516,520.3089660342847,180.63127778754955,1.9981040485102068,1-Propanol-PW1,Acetaldehyde,0.464155844155844,0.633184638948577,913.0371108361309,316.97139731187247,2.547691413748564,479.929570498875
6,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,51591.57248187663,257957862.40938315,303358.44619343453,42.398767784006075,141.19524926844446,232.53386870846168,258.0884395992351,13.248210369269119,339.67768824673516,519.1784744374938,179.50078619075867,1.9981040485102066,1-Propanol-PW2,Acetaldehyde,0.432235294117647,0.589639777442557,978.3345589391038,338.24942892215563,2.5735851881560317,540.8250769525785
7,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,34807.33512697756,174036675.63488778,204667.13054662803,28.605216864580388,95.26033270938422,232.53386870846174,258.08843959923513,13.248210369269122,339.6776882467353,526.5600324328332,186.8823441860979,1.998104048510207,2-3-Butanediol,Acetaldehyde,0.427209302325582,0.873966455781552,669.4383964427411,237.59155482686594,2.2074403671434735,294.1735340283506
8,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,55448.395403701565,277241977.01850784,326036.56497376517,45.56836567722654,151.75055990609985,232.5338687084617,258.08843959923513,13.248210369269122,339.6776882467352,518.11369926711,178.43601102037474,1.9981040485102068,2-Methyl-1-Butanol,Acetaldehyde,0.274179104477612,0.548626215324069,1049.3153115815219,361.3794400072027,2.901078116891436,556.1320317099778
9,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,23770.87814444572,118854390.7222286,139772.76348934084,19.53528248867205,65.05587838234362,232.5338687084617,258.08843959923513,13.248210369269119,339.6776882467352,597.8203522422496,258.14266399551434,1.998104048510207,2-Pyrone-4-6-Dicarboxylate,Acetaldehyde,0.309606741573034,1.27973578137387,519.048420379101,224.12843837914326,1.8653883785477492,201.93239602598362
10,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,57118.08765414071,285590438.27070355,335854.3554063473,46.94054509707253,156.320155329561,232.53386870846168,258.0884395992352,13.248210369269119,339.6776882467353,517.6973385444443,178.019650297709,1.9981040485102075,3-Methyl-1-Pentanol,Acetaldehyde,0.229625,0.532588617117681,1080.0442340702182,371.39286324287514,3.001294875609129,569.8241052166663
11,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,57275.74406504762,286378720.3252381,336781.37510248,47.07010962155083,156.75162766439993,232.5338687084617,258.0884395992351,13.248210369269119,339.67768824673516,517.6592790337361,177.98159078700093,1.9981040485102068,4-Hydroxystyrene,Acetaldehyde,0.194734982332156,0.531122621149662,1082.9457338102632,372.3383550649838,3.3484067830396977,513.7165806935145
12,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,39854.55279081437,199272763.95407185,234344.7704099885,32.75309992744931,109.07350261049308,232.53386870846174,258.08843959923513,13.248210369269119,339.6776882467352,523.6866112903715,184.0089230436363,1.998104048510207,5-Aminopentanoate,Acetaldehyde,0.287031250000001,0.763286530294139,762.3271071227042,267.86056195513555,2.169312901398069,393.54391388503245
13,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,40181.581267268404,200907906.336342,236267.6978515382,33.02185708612678,109.9685105551923,232.5338687084617,258.0884395992351,13.248210369269122,339.67768824673516,523.5253327549766,183.84764450824144,1.9981040485102068,Acetone,Acetaldehyde,0.574234234234234,0.757074320041893,768.3457208534135,269.8218063365418,2.5665659656279574,332.0295066966607
14,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,33366.9721486036,166834860.743018,196197.79623378915,27.421503856681483,91.31836312045586,232.5338687084617,258.0884395992351,13.24821036926912,339.67768824673516,527.5394780794355,187.86178983270037,1.9981040485102066,Acrylate-PW1,Acetaldehyde,0.565230769230772,0.911693251058094,642.9300370091988,228.95345752979904,2.1016897857208,285.6427734366628
15,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,26180.239685827415,130901198.42913708,153939.80935266518,21.51533379524237,71.64979260220376,232.5338687084617,258.08843959923513,13.24821036926912,339.6776882467353,534.0368394840352,194.35915123729995,1.998104048510207,Acrylate-PW2,Acetaldehyde,0.720392156862745,1.16196198664267,510.66581602023496,185.85342289024456,2.049240264338794,162.29497108263996
16,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,35852.898695118995,179264493.47559497,210815.0443272997,29.46447749178105,98.12181960594263,232.53386870846174,258.08843959923513,13.24821036926912,339.67768824673516,525.8983473299432,186.2206590832081,1.9981040485102066,Adipate,Acetaldehyde,0.259341176470588,0.848479325892462,688.6808896830205,243.8619741360807,2.0938442112667235,332.7273737676775
17,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,48989.23795873736,244946189.79368678,288056.71919737564,40.26012823814529,134.073208710297,232.5338687084617,258.0884395992351,13.248210369269119,339.67768824673516,519.9916412352273,180.3139529884922,1.9981040485102064,Benzoate-PW1,Acetaldehyde,0.225860655737705,0.620961757799699,930.4413403952842,322.6427942419377,2.901205034798725,437.236484479501
18,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,48989.23795873729,244946189.79368645,288056.71919737523,40.260128238145235,134.07320871029685,232.5338687084617,258.08843959923513,13.248210369269122,339.6776882467353,519.9916412352273,180.31395298849208,1.9981040485102073,Benzoate-PW2,Acetaldehyde,0.225860655737705,0.6209617577997,930.4413403952826,322.642794241937,2.9012050347987195,437.2364844795003
19,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,62962.7419403051,314813709.7015255,370220.922608994,51.74377415049847,172.31574102551465,232.5338687084617,258.08843959923513,13.24821036926912,339.6776882467353,516.4138337364882,176.73614548975291,1.998104048510207,BenzylAlcohol,Acetaldehyde,0.196821428571429,0.483149913403817,1187.6089236023959,406.44423095339613,3.3084047891095394,625.1801094537742
20,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,64378.41152620424,321892057.6310212,378545.05977408093,52.90719373908539,176.19013000896732,232.5338687084617,258.0884395992351,13.248210369269119,339.67768824673516,516.1380085147227,176.46032026798758,1.9981040485102068,BetaCarotene,Acetaldehyde,0.0387723214285714,0.472525534491374,1213.662827226406,414.9342378524211,3.7488645162503227,576.3558594638512
21,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,70286.6915964244,351433457.982122,413285.74658697547,57.76271146512745,192.35984605233017,232.53386870846174,258.0884395992351,13.24821036926912,339.6776882467352,541.4404116727102,201.76272342597497,1.9981040485102068,Butane,Acetaldehyde,0.328035714285714,0.432805167310974,1390.0029455560257,517.971643452129,3.541802765456851,787.896475428361
22,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.176,500,100.0,44813.747494552,224068737.47276,263504.83526796574,36.828644333724334,122.64577224059515,232.5338687084617,258.0884395992351,13.24821036926912,339.6776882467353,521.4937158725284,181.81602762579308,1.998104048510207,Butanol-PW1,Acetaldehyde,0.403441860465118,0.67881944753278,853.5958481840728,297.6016806933747,2.702116442126064,394.2360530226419
