,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,ScalingFactor,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.176,500,100.0,30420.443316125293,152102216.58062646,178872.2066988167,25.0,83.25433535459196,232.53386870846174,258.0884395992351,13.248210369269122,339.6776882467352,503.87051867696596,164.19283043023074,1.998104048510207
1,AceticAcid,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.131,500,100.0,17852.55098260945,89262754.91304725,100956.17580665645,25.0,61.073331961160854,131.2430285486534,189.32732907959866,7.774848926029307,249.17919440153625,328.34520655428133,79.16601215274508,1.4657599670678605
2,Ethanol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.145,500,100.0,34907.27684600373,174536384.23001868,199844.15994337137,25.0,79.61154342416249,259.7974079263828,246.7957846149037,15.202242198391435,324.81509717058293,521.7954347396781,196.98033756909513,1.9106770421798995
3,EthyleneGlycol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.44,500,100.0,21590.960719763454,107954803.59881727,155454.91718229686,25.0,59.08990430255062,202.0913923369859,183.1787033379069,9.40293955342943,241.0868095544065,394.6730352283222,153.5862256739157,1.4181577032612147
4,FormicAcid,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.4,500,100.0,5953.696432713646,29768482.16356823,41675.87502899551,25.0,40.735027614294665,54.178637537694165,126.27858560431348,2.5928557975204445,166.19891266632223,183.0500789395281,16.851166273205877,0.9776406627430719
5,Glycolaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.344,500,100.0,17852.55098260945,89262754.91304725,119969.14260313551,25.0,61.073331961160854,155.95988538407616,189.32732907959866,7.774848926029307,249.17919440153625,353.0620633897041,103.88286898816787,1.4657599670678605
6,Methanol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.213,500,100.0,25094.18979376254,125470948.9688127,152196.26109916982,25.0,42.92343948670861,197.85513942892078,133.0626624087967,10.928608172449124,175.12763310577114,341.8464100101666,166.71877690439547,1.0301625476810066
7,CarbonMonoxide,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.333,500,100.0,9568.642777720257,47843213.88860129,63775.004113505514,25.0,65.46839130729713,82.90750534755718,202.95201305262108,4.167177682135507,267.1110365337723,290.0266960823138,22.9156595485415,1.5712413913751309
8,CarbonMonoxide_0.5,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.333,500,66.66666666666666,14352.964166580388,71764820.83290194,95662.50617025829,25.0,65.46839130729713,120.03299582008803,195.88848265144028,6.033215198122877,257.81451910254077,321.9546936696512,64.14017456711042,1.5712413913751309
9,CarbonMonoxide_1,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.333,500,50.0,19137.285555440514,95686427.77720258,127550.00822701103,25.0,65.46839130729713,154.66117560504915,189.3000929080211,7.773730455070208,249.14334808539553,351.7349989681405,102.59165088274493,1.5712413913751309
10,CarbonMonoxide_2,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.333,500,33.33333333333333,28705.928333160777,143529641.66580388,191325.01234051658,25.0,65.46839130729713,217.36999277997663,177.3690549365517,10.92566202397941,233.44056262617124,405.66470974050776,172.22414711433646,1.5712413913751309
11,FormicAcid_0.5,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.4,500,66.66666666666666,8930.544649070469,44652723.24535234,62513.81254349328,25.0,40.73502761429466,79.48462356265901,123.50754586375601,3.803937795127908,162.55186681423368,206.7961072215429,44.24424040730926,0.9776406627430717
12,FormicAcid_1,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.4,500,50.0,11907.392865427291,59536964.32713646,83351.75005799103,25.0,40.735027614294665,103.70383552281315,120.8555093550674,4.963009469799903,159.0614445705403,229.52235434768042,70.46090977714016,0.9776406627430719
13,FormicAcid_2,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.4,500,33.33333333333333,17861.089298140938,89305446.49070469,125027.62508698656,25.0,40.73502761429466,149.15043767015231,115.87904487352756,7.137971617442503,152.51177518838463,272.16745416112235,119.65567897273779,0.9776406627430717
14,CarbonDioxide_2,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2.0,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
15,CarbonDioxide_4,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2.0,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
16,CarbonDioxide_x,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2.0,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
